id,group,time,score,department
1,Control,t1,3.6155,6
2,Control,t1,9.0475,1
3,Control,t1,9.4535,6
4,Control,t1,,7
5,Control,t1,,2
6,Control,t1,3.9865,1
7,Control,t1,17.787,7
8,Control,t1,18.368,2
1,EcN,t1,7.133,7
2,EcN,t1,29.1865,6
3,EcN,t1,27.4645,2
4,EcN,t1,22.2495,7
5,EcN,t1,18.1755,1
6,EcN,t1,47.145,6
7,EcN,t1,33.327,1
8,EcN,t1,45.017,2
1,Control,t2,16.772,3
2,Control,t2,12.5825,3
3,Control,t2,7.8785,2
4,Control,t2,8.036,4
5,Control,t2,13.7025,2
6,Control,t2,17.878,1
7,Control,t2,22.1515,1
8,Control,t2,7.2065,4
1,EcN,t2,17.7135,4
2,EcN,t2,8.7535,3
3,EcN,t2,12.7085,2
4,EcN,t2,11.7915,2
5,EcN,t2,2.3695,1
6,EcN,t2,5.1065,4
7,EcN,t2,4.3155,1
8,EcN,t2,,3
1,Control,t3,56.1575,3
2,Control,t3,40.2675,4
3,Control,t3,,2
4,Control,t3,46.067,3
5,Control,t3,5.705,1
6,Control,t3,13.888,2
7,Control,t3,24.157,1
8,Control,t3,13.4925,4
1,EcN,t3,75.159,2
2,EcN,t3,54.8275,3
3,EcN,t3,80.808,4
4,EcN,t3,20.4155,1
5,EcN,t3,29.9425,3
6,EcN,t3,18.207,4
7,EcN,t3,,2
8,EcN,t3,13.9685,1
