id,group,time,score
1,Control,t1,8.1795
2,Control,t1,8.295
3,Control,t1,3.4965
4,Control,t1,8.3965
5,Control,t1,21.553
6,Control,t1,71.498
7,Control,t1,35.9345
8,Control,t1,15.477
1,EcN,t1,19.4145
2,EcN,t1,18.6795
3,EcN,t1,9.4045
4,EcN,t1,20.902
5,EcN,t1,12.5825
6,EcN,t1,21.3045
7,EcN,t1,21.476
8,EcN,t1,36.253
1,Control,t2,16.8385
2,Control,t2,31.087
3,Control,t2,17.1185
4,Control,t2,34.545
5,Control,t2,22.897
6,Control,t2,44.562
7,Control,t2,69.2125
8,Control,t2,35.3885
1,EcN,t2,30.303
2,EcN,t2,80.528
3,EcN,t2,75.7715
4,EcN,t2,35.931
5,EcN,t2,3.0765
6,EcN,t2,19.754
7,EcN,t2,22.6555
8,EcN,t2,2.6145
