id,group,time,score
1,Control,t1,2.1735
2,Control,t1,1.736
3,Control,t1,1.841
4,Control,t1,5.9045
5,Control,t1,7.7035
6,Control,t1,9.044
7,Control,t1,4.2735
8,Control,t1,4.6165
1,EcN,t1,4.0215
2,EcN,t1,8.449
3,EcN,t1,2.667
4,EcN,t1,9.8105
5,EcN,t1,6.209
6,EcN,t1,13.468
7,EcN,t1,9.044
8,EcN,t1,9.3135
1,Control,t2,9.2715
2,Control,t2,17.0065
3,Control,t2,7.077
4,Control,t2,15.0885
5,Control,t2,18.69
6,Control,t2,25.34
7,Control,t2,19.46
8,Control,t2,11.823
1,EcN,t2,8.645
2,EcN,t2,19.915
3,EcN,t2,27.1705
4,EcN,t2,11.8265
5,EcN,t2,2.625
6,EcN,t2,14.896
7,EcN,t2,19.362
8,EcN,t2,2.8035
