id,group,time,score,department
1,Control,t1,663.25,1
2,Control,t1,1193.185,1
3,Control,t1,1446.69,7
4,Control,t1,819.7,7
5,Control,t1,543.83,2
6,Control,t1,1013.39,2
7,Control,t1,693.91,6
8,Control,t1,317.1,6
1,EcN,t1,953.225,1
2,EcN,t1,821.345,1
3,EcN,t1,546.49,7
4,EcN,t1,283.045,7
5,EcN,t1,166.705,2
6,EcN,t1,435.085,2
7,EcN,t1,2310.455,6
8,EcN,t1,1318.38,6
1,Control,t2,657.755,1
2,Control,t2,795.165,1
3,Control,t2,342.825,7
4,Control,t2,222.705,7
5,Control,t2,301.28,2
6,Control,t2,427.245,2
7,Control,t2,852.264,6
8,Control,t2,630.056,6
1,EcN,t2,403.515,1
2,EcN,t2,104.615,1
3,EcN,t2,232.26,7
4,EcN,t2,169.995,7
5,EcN,t2,276.045,2
6,EcN,t2,768.53,2
7,EcN,t2,302.2985,6
8,EcN,t2,556.1815,6
1,Control,t3,1488.305,1
2,Control,t3,451.85,1
3,Control,t3,469.665,7
4,Control,t3,632.17,7
5,Control,t3,467.635,2
6,Control,t3,654.01,2
7,Control,t3,631.512,6
8,Control,t3,363.909,6
1,EcN,t3,,1
2,EcN,t3,648.375,1
3,EcN,t3,327.88,7
4,EcN,t3,148.785,7
5,EcN,t3,568.54,2
6,EcN,t3,656.53,2
7,EcN,t3,345.7475,6
8,EcN,t3,318.5665,6
