id,group,time,score,department
1,Control,t1,2.821677259,1
2,Control,t1,3.076707785,1
3,Control,t1,3.160375479,7
4,Control,t1,2.913654935,7
5,Control,t1,2.735463161,2
6,Control,t1,3.005776614,2
7,Control,t1,2.841303146,6
8,Control,t1,2.501196242,6
1,EcN,t1,2.979195424,1
2,EcN,t1,2.914525618,1
3,EcN,t1,2.737582219,7
4,EcN,t1,2.451855487,7
5,EcN,t1,2.221948626,2
6,EcN,t1,2.638574111,2
7,EcN,t1,3.363697514,6
8,EcN,t1,3.120040606,6
1,Control,t2,2.818064158,1
2,Control,t2,2.900457256,1
3,Control,t2,2.535072485,7
4,Control,t2,2.347729968,7
5,Control,t2,2.478970303,2
6,Control,t2,2.630676989,2
7,Control,t2,2.930574144,6
8,Control,t2,2.799379152,6
1,EcN,t2,2.605859684,1
2,EcN,t2,2.019593959,1
3,EcN,t2,2.365974422,7
4,EcN,t2,2.230436148,7
5,EcN,t2,2.440979885,2
6,EcN,t2,2.885660825,2
7,EcN,t2,2.480435992,6
8,EcN,t2,2.745216539,6
1,Control,t3,3.172691941,1
2,Control,t3,2.654994287,1
3,Control,t3,2.671788197,7
4,Control,t3,2.800833882,7
5,Control,t3,2.669907008,2
6,Control,t3,2.815584389,2
7,Control,t3,2.800381607,6
8,Control,t3,2.560992796,6
1,EcN,t3,,1
2,EcN,t3,2.811826261,1
3,EcN,t3,2.515714926,7
4,EcN,t3,2.172559149,7
5,EcN,t3,2.754761025,2
6,EcN,t3,2.817254576,2
7,EcN,t3,2.538759049,6
8,EcN,t3,2.503200104,6
