id,group,time,score,department
1,Control,t1,2219.875,1
2,Control,t1,2893.94,1
3,Control,t1,1902.81,7
4,Control,t1,1800.68,7
5,Control,t1,1959.895,2
6,Control,t1,7386.4,2
7,Control,t1,1953.98,6
8,Control,t1,2629.655,6
1,EcN,t1,2757.93,1
2,EcN,t1,3513.685,1
3,EcN,t1,1281.945,7
4,EcN,t1,413.735,7
5,EcN,t1,993.02,2
6,EcN,t1,1092.49,2
7,EcN,t1,3697.925,6
8,EcN,t1,2079.035,6
1,Control,t2,3800.44,1
2,Control,t2,5465.6,1
3,Control,t2,2628.605,7
4,Control,t2,2849.385,7
5,Control,t2,2601.76,2
6,Control,t2,5222.385,2
7,Control,t2,4039.679,6
8,Control,t2,1751.9355,6
1,EcN,t2,3405.57,1
2,EcN,t2,1678.81,1
3,EcN,t2,5950.525,7
4,EcN,t2,1407.945,7
5,EcN,t2,1419.74,2
6,EcN,t2,2487.415,2
7,EcN,t2,2185.4735,6
8,EcN,t2,2421.1985,6
1,Control,t3,3334.695,1
2,Control,t3,2663.43,1
3,Control,t3,1347.185,7
4,Control,t3,3496.185,7
5,Control,t3,3008.775,2
6,Control,t3,2941.015,2
7,Control,t3,2042.404,6
8,Control,t3,1520.54,6
1,EcN,t3,,1
2,EcN,t3,2757.23,1
3,EcN,t3,2432.36,7
4,EcN,t3,1606.64,7
5,EcN,t3,1870.715,2
6,EcN,t3,2074.835,2
7,EcN,t3,5758.9525,6
8,EcN,t3,1634.0065,6
