id,group,time,score,department
1,Control,t1,3.34632852,1
2,Control,t1,3.461489523,1
3,Control,t1,3.279395425,7
4,Control,t1,3.255436541,7
5,Control,t1,3.292232805,2
6,Control,t1,3.868432823,2
7,Control,t1,3.290920114,6
8,Control,t1,3.419898775,6
1,EcN,t1,3.440583239,1
2,EcN,t1,3.545762825,1
3,EcN,t1,3.107869393,7
4,EcN,t1,2.616722262,7
5,EcN,t1,2.996957996,2
6,EcN,t1,3.03841747,2
7,EcN,t1,3.567958099,6
8,EcN,t1,3.317861801,6
1,Control,t2,3.57983388,1
2,Control,t2,3.737637845,1
3,Control,t2,3.41972533,7
4,Control,t2,3.454751134,7
5,Control,t2,3.415267232,2
6,Control,t2,3.717868885,2
7,Control,t2,3.606346857,6
8,Control,t2,3.243518113,6
1,EcN,t2,3.532189811,1
2,EcN,t2,3.225001547,1
3,EcN,t2,3.774555284,7
4,EcN,t2,3.14858569,7
5,EcN,t2,3.152208818,2
6,EcN,t2,3.395748249,2
7,EcN,t2,3.339545545,6
8,EcN,t2,3.384030396,6
1,Control,t3,3.523056118,1
2,Control,t3,3.425441287,1
3,Control,t3,3.129427239,7
4,Control,t3,3.543594405,7
5,Control,t3,3.478389712,2
6,Control,t3,3.46849724,2
7,Control,t3,3.310141652,6
8,Control,t3,3.181997849,6
1,EcN,t3,,1
2,EcN,t3,3.440472995,1
3,EcN,t3,3.386027853,7
4,EcN,t3,3.205918575,7
5,EcN,t3,3.272007629,2
6,EcN,t3,3.316983565,2
7,EcN,t3,3.760343496,6
8,EcN,t3,3.21325378,6
