id,group,time,score
1,Control,t1,111.4365
2,Control,t1,119.462
3,Control,t1,43.764
4,Control,t1,60.963
5,Control,t1,29.526
6,Control,t1,100.548
7,Control,t1,69.65
8,Control,t1,100.548
1,EcN,t1,99.659
2,EcN,t1,56.007
3,EcN,t1,54.327
4,EcN,t1,90.3455
5,EcN,t1,65.905
6,EcN,t1,154.8225
7,EcN,t1,92.4385
8,EcN,t1,96.25
1,Control,t2,166.3235
2,Control,t2,192.2935
3,Control,t2,94.465
4,Control,t2,121.597
5,Control,t2,72.9785
6,Control,t2,98.371
7,Control,t2,60.1195
8,Control,t2,88.5605
1,EcN,t2,126.4865
2,EcN,t2,105.1575
3,EcN,t2,71.8025
4,EcN,t2,22.141
5,EcN,t2,123.648
6,EcN,t2,106.3335
7,EcN,t2,64.134
8,EcN,t2,139.3875
1,Control,t3,57.6695
2,Control,t3,57.1935
3,Control,t3,97.559
4,Control,t3,388.9445
5,Control,t3,93.751
6,Control,t3,246.792
7,Control,t3,109.599
8,Control,t3,163.709
1,EcN,t3,53.3925
2,EcN,t3,58.639
3,EcN,t3,162.8725
4,EcN,t3,214.2525
5,EcN,t3,167.4575
6,EcN,t3,255.829
7,EcN,t3,167.4575
8,EcN,t3,255.829
