id,group,time,score
1,Control,t1,2.070394396
2,Control,t1,2.038445296
3,Control,t1,1.698674584
4,Control,t1,1.823734988
5,Control,t1,1.42430982
6,Control,t1,1.959141603
7,Control,t1,1.852269505
8,Control,t1,1.959141603
1,EcN,t1,2.02688448
2,EcN,t1,1.677606953
3,EcN,t1,1.745027923
4,EcN,t1,1.944864979
5,EcN,t1,1.816304285
6,EcN,t1,2.216858373
7,EcN,t1,1.866638769
8,EcN,t1,2.01877953
1,Control,t2,2.229782919
2,Control,t2,2.333514781
3,Control,t2,1.835547897
4,Control,t2,1.984110821
5,Control,t2,1.81792548
6,Control,t2,1.932790745
7,Control,t2,1.675076857
8,Control,t2,1.897695803
1,EcN,t2,2.095164119
2,EcN,t2,2.038222638
3,EcN,t2,1.705076482
4,EcN,t2,1.075163591
5,EcN,t2,2.028624113
6,EcN,t2,1.996820209
7,EcN,t2,1.706243981
8,EcN,t2,2.043823839
1,Control,t3,1.778104199
2,Control,t3,1.716437421
3,Control,t3,1.828408526
4,Control,t3,2.519559593
5,Control,t3,1.910378911
6,Control,t3,2.356212353
7,Control,t3,1.958774052
8,Control,t3,2.140478188
1,EcN,t3,1.55627234
2,EcN,t3,1.865397158
3,EcN,t3,2.209949092
4,EcN,t3,2.201983981
5,EcN,t3,2.213003471
6,EcN,t3,2.389717908
7,EcN,t3,2.213003471
8,EcN,t3,2.389717908
